id,name,hexCode
1,D.Brown,#654321
2,L.Brown,#b5651d
3,Camel,#C19A6B
4,Black,#000000
5,Tan,#C57911
6,Yellow,#E9E61C
7,Maroon,#721515E0
8,Green,#827717
9,Coffee,#4E342E
10,Brown,#795548
11,Nuss,#8D6E63
12,Copper,#68601D
13,D.Tan,#C06201
14,White,#FFFFFF
15,Grey,#616161
16,Blue,#0D47A1
17,Taupe,#9E9E9E
18,L.Blue,#1976D2
19,Nugget,#A1887F
20,L.Grey,#757575
23,Mocca,#8D6E63
24,Navy,#0D47A1
25,Cream,#BCAAA4
26,Street,#616161
28,D.Grey,#455A64
29,Pink,#D81B60
30,R.Brown,#832A0F
32,Orange,#EB9800
33,Olive,#6D4C41
34,Nude,#BCAAA4
35,D.BrownBtk,#654321
36,CoffeeBtk,#4E342E
37,TanBtk,#C57911
38,CamelBtk,#C19A6B
39,BlackBtk,#000000
40,L.BrownBtk,#B5651D
41,Red,#B71C1C
42,Crow,#212121
43,CopperBtk,#68601D
44,D.Coffee,#624531
45,Purple,#800080
46,Multi,#9E9E9E
47,Cognac,#9A463D
48,R.Tan,#982D05
49,D.CoffeeBtk,#624531
50,D.Nuss,#655940
51,BlueBtk,#0D47A1
52,BrownBtk,#795548
53,OliveBtk,#6D4C41
