id,sku,skuRemake,skuNumeric,gender,msrp
1303,3301-Black,"3301,Black",3301,MEN,
1394,59107-Black,"59107,Black",59107,MEN,
1395,59111-L.Brown,"59111,L.Brown",59111,MEN,
1399,59122-Black,"59122,Black",59122,MEN,
1408,59203-Black,"59203,Black",59203,MEN,
1410,59206-Black,"59206,Black",59206,MEN,
1418,59210-Black,"59210,Black",59210,MEN,
1447,62202-Black,"62202,Black",62202,MEN,
1456,63107-Nuss,"63107,Nuss",63107,MEN,
1565,69201-Black,"69201,Black",69201,MEN,
1566,69202-Black,"69202,Black",69202,MEN,
1567,69203-Black,"69203,Black",69203,MEN,
1569,70201-Brown,"70201,Brown",70201,MEN,
1572,71102-Black,"71102,Black",71102,MEN,
1573,7111-Black,"7111,Black",7111,MEN,
1574,71113-Black,"71113,Black",71113,MEN,
1575,71114-Black,"71114,Black",71114,MEN,
1576,71118-Black,"71118,Black",71118,MEN,
1577,72107-Black,"72107,Black",72107,MEN,
1578,72301-Black,"72301,Black",72301,MEN,
1579,73201-Black,"73201,Black",73201,MEN,
1580,74201-Black,"74201,Black",74201,MEN,
1582,75201-Black,"75201,Black",75201,MEN,
1699,91319-Nuss,"91319,Nuss",91319,MEN,
1193,A011905-Black,"A011905,Black",11905,MEN,
1922,A01208-L.Brown,"A01208,L.Brown",01208,MEN,
625,A01208-Tan,"A01208,Tan",01208,MEN,
765,A01401-Coffee,"A01401,Coffee",01401,MEN,
1038,A01401-D.Brown,"A01401,D.Brown",01401,MEN,
1124,A01401-D.Coffee,"A01401,D.Coffee",01401,MEN,
569,A01402-Coffee/Camel,"A01402,Coffee/Camel",01402,MEN,
889,A01402-Coffee/L.Brown,"A01402,Coffee/L.Brown",01402,MEN,
13,A02201-Black/BlackBtk,"A02201,Black/BlackBtk",02201,MEN,
68,A02201-Camel/CamelBtk,"A02201,Camel/CamelBtk",02201,MEN,
69,A02201-D.Brown/D.BrownBtk,"A02201,D.Brown/D.BrownBtk",02201,MEN,
1128,A02201-L.Brown/L.BrownBtk,"A02201,L.Brown/L.BrownBtk",02201,MEN,
675,A02201-Tan/TanBtk,"A02201,Tan/TanBtk",02201,MEN,
1129,A02202-Coffee/CoffeeBtk,"A02202,Coffee/CoffeeBtk",02202,MEN,
416,A02202-D.Brown/D.BrownBtk,"A02202,D.Brown/D.BrownBtk",02202,MEN,
70,A02202-L.Brown/L.BrownBtk,"A02202,L.Brown/L.BrownBtk",02202,MEN,
292,A02411-Camel,"A02411,Camel",02411,MEN,
439,A02411-Tan,"A02411,Tan",02411,MEN,
6,A02412ST-Camel,"A02412ST,Camel",02412ST,MEN,
117,A02412ST-D.Brown,"A02412ST,D.Brown",02412ST,MEN,
281,A02412ST-L.Brown,"A02412ST,L.Brown",02412ST,MEN,
445,A02412ST-Tan,"A02412ST,Tan",02412ST,MEN,
845,A02902-Black,"A02902,Black",02902,MEN,
438,A02902-Coffee,"A02902,Coffee",02902,MEN,
1130,A02902-D.Brown,"A02902,D.Brown",02902,MEN,
778,A02902-D.Brown/D.Brown,"A02902,D.Brown/D.Brown",02902,MEN,
1131,A02902-D.Coffee/Nuss,"A02902,D.Coffee/Nuss",02902,MEN,
1074,A02902-Tan,"A02902,Tan",02902,MEN,
1135,A05203-D.Brown,"A05203,D.Brown",05203,MEN,
669,A05203-D.Brown ,"A05203,D.Brown",05203,MEN,
360,A05203-D.Brown/Tan,"A05203,D.Brown/Tan",05203,MEN,
1136,A05203-L.Brown,"A05203,L.Brown",05203,MEN,
1137,A05203-L.Brown/Coffee,"A05203,L.Brown/Coffee",05203,MEN,
691,A05203-L.Brown/D.Brown,"A05203,L.Brown/D.Brown",05203,MEN,
1138,A05203-Street,"A05203,Street",05203,MEN,
535,A05203-Street ,"A05203,Street",05203,MEN,
1139,A05203-Tan,"A05203,Tan",05203,MEN,
1140,A05203-Taupe,"A05203,Taupe",05203,MEN,
419,A05206-Street/Black,"A05206,Street/Black",05206,MEN,
670,A05208-Camel/D.Brown,"A05208,Camel/D.Brown",05208,MEN,
914,A05208-D.Brown,"A05208,D.Brown",05208,MEN,
1143,A05208-L.Brown,"A05208,L.Brown",05208,MEN,
1144,A05208-L.Brown/Coffee,"A05208,L.Brown/Coffee",05208,MEN,
782,A05208-L.Brown/D.Brown,"A05208,L.Brown/D.Brown",05208,MEN,
755,A05208-Tan/D. Brown,"A05208,Tan/D.Brown",05208,MEN,
1145,A05208-Tan/D.Brown,"A05208,Tan/D.Brown",05208,MEN,
361,A05211-D.Brown,"A05211,D.Brown",05211,MEN,
1146,A05211-L.Brown,"A05211,L.Brown",05211,MEN,
692,A05211-L.Brown ,"A05211,L.Brown",05211,MEN,
